span1,span2,sentence,answer
Bass,alto trombone,The sound of Bass is [MASK] than the sound of alto trombone,lower
Bass,soprano trombone,The sound of Bass is [MASK] than the sound of soprano trombone,lower
Bass,sopranino trombone,The sound of Bass is [MASK] than the sound of sopranino trombone,lower
Bass,piccolo trombone,The sound of Bass is [MASK] than the sound of piccolo trombone,lower
Bass,french horn,The sound of Bass is [MASK] than the sound of french horn,lower
Bass,baritone horn,The sound of Bass is [MASK] than the sound of baritone horn,lower
Bass,alto horn,The sound of Bass is [MASK] than the sound of alto horn,lower
Bass,flugelhorn,The sound of Bass is [MASK] than the sound of flugelhorn,lower
Bass,tenor wagner tuba,The sound of Bass is [MASK] than the sound of tenor wagner tuba,lower
Bass,bass trumpet,The sound of Bass is [MASK] than the sound of bass trumpet,lower
Bass,cornet,The sound of Bass is [MASK] than the sound of cornet,lower
Bass,trumpet,The sound of Bass is [MASK] than the sound of trumpet,lower
Bass,piccolo trumpet,The sound of Bass is [MASK] than the sound of piccolo trumpet,lower
Bass,timpani 32inch,The sound of Bass is [MASK] than the sound of timpani 32inch,higher
Bass,timpani 29inch,The sound of Bass is [MASK] than the sound of timpani 29inch,higher
Bass,timpani 26inch,The sound of Bass is [MASK] than the sound of timpani 26inch,higher
Bass,marimba,The sound of Bass is [MASK] than the sound of marimba,lower
Bass,xylophone,The sound of Bass is [MASK] than the sound of xylophone,lower
Bass,celesta,The sound of Bass is [MASK] than the sound of celesta,lower
Bass,vibraphone,The sound of Bass is [MASK] than the sound of vibraphone,lower
Bass,glockenspiel,The sound of Bass is [MASK] than the sound of glockenspiel,lower
Bass,crotales,The sound of Bass is [MASK] than the sound of crotales,lower
Bass,tubular bells,The sound of Bass is [MASK] than the sound of tubular bells,lower
Bass,gong,The sound of Bass is [MASK] than the sound of gong,lower
Baritone,alto,The sound of Baritone is [MASK] than the sound of alto,lower
Baritone,mezzo-soprano,The sound of Baritone is [MASK] than the sound of mezzo-soprano,lower
Baritone,Soprano,The sound of Baritone is [MASK] than the sound of Soprano,lower
Baritone,octobass,The sound of Baritone is [MASK] than the sound of octobass,higher
Baritone,Double bass,The sound of Baritone is [MASK] than the sound of Double bass,lower
Baritone,Cello,The sound of Baritone is [MASK] than the sound of Cello,lower
Baritone,viola,The sound of Baritone is [MASK] than the sound of viola,lower
Baritone,Violin,The sound of Baritone is [MASK] than the sound of Violin,lower
Baritone,Harp,The sound of Baritone is [MASK] than the sound of Harp,lower
Baritone,harpsichord,The sound of Baritone is [MASK] than the sound of harpsichord,lower
Baritone,baritone guitar,The sound of Baritone is [MASK] than the sound of baritone guitar,lower
Baritone,guitar,The sound of Baritone is [MASK] than the sound of guitar,lower
Baritone,mandolin,The sound of Baritone is [MASK] than the sound of mandolin,lower
Baritone,5-string banjo,The sound of Baritone is [MASK] than the sound of 5-string banjo,lower
Baritone,Ukulele,The sound of Baritone is [MASK] than the sound of Ukulele,lower
Baritone,piano,The sound of Baritone is [MASK] than the sound of piano,lower
Baritone,hammered dulcimer,The sound of Baritone is [MASK] than the sound of hammered dulcimer,lower
Baritone,cymbalum,The sound of Baritone is [MASK] than the sound of cymbalum,lower
Baritone,bassoon,The sound of Baritone is [MASK] than the sound of bassoon,lower
Baritone,heckelphone,The sound of Baritone is [MASK] than the sound of heckelphone,lower
Baritone,cor anglais,The sound of Baritone is [MASK] than the sound of cor anglais,lower
Baritone,oboe d'amore,The sound of Baritone is [MASK] than the sound of oboe d'amore,lower
Baritone,oboe,The sound of Baritone is [MASK] than the sound of oboe,lower
Baritone,contra-alto clarinet,The sound of Baritone is [MASK] than the sound of contra-alto clarinet,lower
Baritone,bass clarinet,The sound of Baritone is [MASK] than the sound of bass clarinet,lower
Baritone,alto clarinet,The sound of Baritone is [MASK] than the sound of alto clarinet,lower
Baritone,soprano clarinet,The sound of Baritone is [MASK] than the sound of soprano clarinet,lower
Baritone,sopranino clarinet,The sound of Baritone is [MASK] than the sound of sopranino clarinet,lower
Baritone,subcontrabass saxophone,The sound of Baritone is [MASK] than the sound of subcontrabass saxophone,higher
Baritone,contrabass saxophone,The sound of Baritone is [MASK] than the sound of contrabass saxophone,higher
Baritone,tenor saxophone,The sound of Baritone is [MASK] than the sound of tenor saxophone,lower
Baritone,alto saxophone,The sound of Baritone is [MASK] than the sound of alto saxophone,lower
Baritone,soprano saxophone,The sound of Baritone is [MASK] than the sound of soprano saxophone,lower
Baritone,sopranino saxophone,The sound of Baritone is [MASK] than the sound of sopranino saxophone,lower
Baritone,sopranissimo saxophone,The sound of Baritone is [MASK] than the sound of sopranissimo saxophone,lower
Baritone,harmonium,The sound of Baritone is [MASK] than the sound of harmonium,lower
Baritone,accordion,The sound of Baritone is [MASK] than the sound of accordion,lower
Baritone,16-hole harmonica,The sound of Baritone is [MASK] than the sound of 16-hole harmonica,lower
Baritone,typical C harmonica,The sound of Baritone is [MASK] than the sound of typical C harmonica,lower
Baritone,hyperbass flute,The sound of Baritone is [MASK] than the sound of hyperbass flute,higher
Baritone,contra-alto flute,The sound of Baritone is [MASK] than the sound of contra-alto flute,lower
Baritone,bass flute,The sound of Baritone is [MASK] than the sound of bass flute,lower
Baritone,alto flute,The sound of Baritone is [MASK] than the sound of alto flute,lower
Baritone,flute,The sound of Baritone is [MASK] than the sound of flute,lower
Baritone,piccolo,The sound of Baritone is [MASK] than the sound of piccolo,lower
Baritone,great bass recorder,The sound of Baritone is [MASK] than the sound of great bass recorder,lower
Baritone,bass recorder,The sound of Baritone is [MASK] than the sound of bass recorder,lower
Baritone,tenor recorder,The sound of Baritone is [MASK] than the sound of tenor recorder,lower
Baritone,alto recorder,The sound of Baritone is [MASK] than the sound of alto recorder,lower
Baritone,soprano recorder,The sound of Baritone is [MASK] than the sound of soprano recorder,lower
Baritone,sopranino recorder,The sound of Baritone is [MASK] than the sound of sopranino recorder,lower
Baritone,garklein recorder,The sound of Baritone is [MASK] than the sound of garklein recorder,lower
Baritone,subcontrabass tuba,The sound of Baritone is [MASK] than the sound of subcontrabass tuba,higher
Baritone,euphonium,The sound of Baritone is [MASK] than the sound of euphonium,lower
Baritone,tenor trombone,The sound of Baritone is [MASK] than the sound of tenor trombone,lower
Baritone,alto trombone,The sound of Baritone is [MASK] than the sound of alto trombone,lower
Baritone,soprano trombone,The sound of Baritone is [MASK] than the sound of soprano trombone,lower
Baritone,sopranino trombone,The sound of Baritone is [MASK] than the sound of sopranino trombone,lower
Baritone,piccolo trombone,The sound of Baritone is [MASK] than the sound of piccolo trombone,lower
Baritone,french horn,The sound of Baritone is [MASK] than the sound of french horn,lower
Baritone,baritone horn,The sound of Baritone is [MASK] than the sound of baritone horn,lower
Baritone,alto horn,The sound of Baritone is [MASK] than the sound of alto horn,lower
Baritone,flugelhorn,The sound of Baritone is [MASK] than the sound of flugelhorn,lower
Baritone,tenor wagner tuba,The sound of Baritone is [MASK] than the sound of tenor wagner tuba,lower
Baritone,bass trumpet,The sound of Baritone is [MASK] than the sound of bass trumpet,lower
Baritone,cornet,The sound of Baritone is [MASK] than the sound of cornet,lower
Baritone,trumpet,The sound of Baritone is [MASK] than the sound of trumpet,lower
Baritone,piccolo trumpet,The sound of Baritone is [MASK] than the sound of piccolo trumpet,lower
Baritone,timpani 32inch,The sound of Baritone is [MASK] than the sound of timpani 32inch,higher
Baritone,timpani 29inch,The sound of Baritone is [MASK] than the sound of timpani 29inch,higher
Baritone,timpani 26inch,The sound of Baritone is [MASK] than the sound of timpani 26inch,higher
Baritone,timpani 23inch,The sound of Baritone is [MASK] than the sound of timpani 23inch,higher
Baritone,marimba,The sound of Baritone is [MASK] than the sound of marimba,lower
Baritone,xylophone,The sound of Baritone is [MASK] than the sound of xylophone,lower
Baritone,celesta,The sound of Baritone is [MASK] than the sound of celesta,lower
Baritone,vibraphone,The sound of Baritone is [MASK] than the sound of vibraphone,lower
Baritone,glockenspiel,The sound of Baritone is [MASK] than the sound of glockenspiel,lower
Baritone,crotales,The sound of Baritone is [MASK] than the sound of crotales,lower
Baritone,tubular bells,The sound of Baritone is [MASK] than the sound of tubular bells,lower
Baritone,gong,The sound of Baritone is [MASK] than the sound of gong,lower
tenor,mezzo-soprano,The sound of tenor is [MASK] than the sound of mezzo-soprano,lower
tenor,Soprano,The sound of tenor is [MASK] than the sound of Soprano,lower
tenor,octobass,The sound of tenor is [MASK] than the sound of octobass,higher
tenor,Cello,The sound of tenor is [MASK] than the sound of Cello,lower
tenor,viola,The sound of tenor is [MASK] than the sound of viola,lower
tenor,Violin,The sound of tenor is [MASK] than the sound of Violin,lower
tenor,Harp,The sound of tenor is [MASK] than the sound of Harp,lower
tenor,harpsichord,The sound of tenor is [MASK] than the sound of harpsichord,lower
tenor,guitar,The sound of tenor is [MASK] than the sound of guitar,lower
tenor,mandolin,The sound of tenor is [MASK] than the sound of mandolin,lower
tenor,Ukulele,The sound of tenor is [MASK] than the sound of Ukulele,lower
tenor,piano,The sound of tenor is [MASK] than the sound of piano,lower
tenor,hammered dulcimer,The sound of tenor is [MASK] than the sound of hammered dulcimer,lower
tenor,cymbalum,The sound of tenor is [MASK] than the sound of cymbalum,lower
tenor,contrabassoon,The sound of tenor is [MASK] than the sound of contrabassoon,higher
tenor,cor anglais,The sound of tenor is [MASK] than the sound of cor anglais,lower
tenor,oboe d'amore,The sound of tenor is [MASK] than the sound of oboe d'amore,lower
tenor,oboe,The sound of tenor is [MASK] than the sound of oboe,lower
tenor,octocontrabass ciarinet,The sound of tenor is [MASK] than the sound of octocontrabass ciarinet,higher
tenor,bass clarinet,The sound of tenor is [MASK] than the sound of bass clarinet,lower
tenor,alto clarinet,The sound of tenor is [MASK] than the sound of alto clarinet,lower
tenor,soprano clarinet,The sound of tenor is [MASK] than the sound of soprano clarinet,lower
tenor,sopranino clarinet,The sound of tenor is [MASK] than the sound of sopranino clarinet,lower
tenor,subcontrabass saxophone,The sound of tenor is [MASK] than the sound of subcontrabass saxophone,higher
tenor,contrabass saxophone,The sound of tenor is [MASK] than the sound of contrabass saxophone,higher
tenor,soprano saxophone,The sound of tenor is [MASK] than the sound of soprano saxophone,lower
tenor,sopranino saxophone,The sound of tenor is [MASK] than the sound of sopranino saxophone,lower
tenor,sopranissimo saxophone,The sound of tenor is [MASK] than the sound of sopranissimo saxophone,lower
tenor,harmonium,The sound of tenor is [MASK] than the sound of harmonium,lower
tenor,accordion,The sound of tenor is [MASK] than the sound of accordion,lower
tenor,16-hole harmonica,The sound of tenor is [MASK] than the sound of 16-hole harmonica,lower
tenor,typical C harmonica,The sound of tenor is [MASK] than the sound of typical C harmonica,lower
tenor,hyperbass flute,The sound of tenor is [MASK] than the sound of hyperbass flute,higher
tenor,double contrabass flute,The sound of tenor is [MASK] than the sound of double contrabass flute,higher
tenor,subcontrabass flute,The sound of tenor is [MASK] than the sound of subcontrabass flute,higher
tenor,bass flute,The sound of tenor is [MASK] than the sound of bass flute,lower
tenor,alto flute,The sound of tenor is [MASK] than the sound of alto flute,lower
tenor,flute,The sound of tenor is [MASK] than the sound of flute,lower
tenor,piccolo,The sound of tenor is [MASK] than the sound of piccolo,lower
tenor,sub-contrabass recorder,The sound of tenor is [MASK] than the sound of sub-contrabass recorder,higher
tenor,bass recorder,The sound of tenor is [MASK] than the sound of bass recorder,lower
tenor,tenor recorder,The sound of tenor is [MASK] than the sound of tenor recorder,lower
tenor,alto recorder,The sound of tenor is [MASK] than the sound of alto recorder,lower
tenor,soprano recorder,The sound of tenor is [MASK] than the sound of soprano recorder,lower
tenor,sopranino recorder,The sound of tenor is [MASK] than the sound of sopranino recorder,lower
tenor,garklein recorder,The sound of tenor is [MASK] than the sound of garklein recorder,lower
tenor,subcontrabass tuba,The sound of tenor is [MASK] than the sound of subcontrabass tuba,higher
tenor,contrabass trombone,The sound of tenor is [MASK] than the sound of contrabass trombone,higher
tenor,alto trombone,The sound of tenor is [MASK] than the sound of alto trombone,lower
tenor,soprano trombone,The sound of tenor is [MASK] than the sound of soprano trombone,lower
tenor,sopranino trombone,The sound of tenor is [MASK] than the sound of sopranino trombone,lower
tenor,piccolo trombone,The sound of tenor is [MASK] than the sound of piccolo trombone,lower
tenor,cimbasso,The sound of tenor is [MASK] than the sound of cimbasso,higher
tenor,alto horn,The sound of tenor is [MASK] than the sound of alto horn,lower
tenor,flugelhorn,The sound of tenor is [MASK] than the sound of flugelhorn,lower
tenor,cornet,The sound of tenor is [MASK] than the sound of cornet,lower
tenor,trumpet,The sound of tenor is [MASK] than the sound of trumpet,lower
tenor,piccolo trumpet,The sound of tenor is [MASK] than the sound of piccolo trumpet,lower
tenor,timpani 32inch,The sound of tenor is [MASK] than the sound of timpani 32inch,higher
tenor,timpani 29inch,The sound of tenor is [MASK] than the sound of timpani 29inch,higher
tenor,timpani 26inch,The sound of tenor is [MASK] than the sound of timpani 26inch,higher
tenor,timpani 23inch,The sound of tenor is [MASK] than the sound of timpani 23inch,higher
tenor,timpani 20inch,The sound of tenor is [MASK] than the sound of timpani 20inch,higher
tenor,marimba,The sound of tenor is [MASK] than the sound of marimba,lower
tenor,xylophone,The sound of tenor is [MASK] than the sound of xylophone,lower
tenor,celesta,The sound of tenor is [MASK] than the sound of celesta,lower
tenor,vibraphone,The sound of tenor is [MASK] than the sound of vibraphone,lower
tenor,glockenspiel,The sound of tenor is [MASK] than the sound of glockenspiel,lower
tenor,crotales,The sound of tenor is [MASK] than the sound of crotales,lower
alto,octobass,The sound of alto is [MASK] than the sound of octobass,higher
alto,Cello,The sound of alto is [MASK] than the sound of Cello,lower
alto,viola,The sound of alto is [MASK] than the sound of viola,lower
alto,Violin,The sound of alto is [MASK] than the sound of Violin,lower
alto,Harp,The sound of alto is [MASK] than the sound of Harp,lower
alto,harpsichord,The sound of alto is [MASK] than the sound of harpsichord,lower
alto,mandolin,The sound of alto is [MASK] than the sound of mandolin,lower
alto,piano,The sound of alto is [MASK] than the sound of piano,lower
alto,cymbalum,The sound of alto is [MASK] than the sound of cymbalum,lower
alto,contrabassoon,The sound of alto is [MASK] than the sound of contrabassoon,higher
alto,oboe d'amore,The sound of alto is [MASK] than the sound of oboe d'amore,lower
alto,oboe,The sound of alto is [MASK] than the sound of oboe,lower
alto,octocontrabass ciarinet,The sound of alto is [MASK] than the sound of octocontrabass ciarinet,higher
alto,octocontra-alto clarinet,The sound of alto is [MASK] than the sound of octocontra-alto clarinet,higher
alto,contrabass clarinet,The sound of alto is [MASK] than the sound of contrabass clarinet,higher
alto,soprano clarinet,The sound of alto is [MASK] than the sound of soprano clarinet,lower
alto,sopranino clarinet,The sound of alto is [MASK] than the sound of sopranino clarinet,lower
alto,subcontrabass saxophone,The sound of alto is [MASK] than the sound of subcontrabass saxophone,higher
alto,contrabass saxophone,The sound of alto is [MASK] than the sound of contrabass saxophone,higher
alto,bass saxophone,The sound of alto is [MASK] than the sound of bass saxophone,higher
alto,baritone saxophone,The sound of alto is [MASK] than the sound of baritone saxophone,higher
alto,sopranino saxophone,The sound of alto is [MASK] than the sound of sopranino saxophone,lower
alto,sopranissimo saxophone,The sound of alto is [MASK] than the sound of sopranissimo saxophone,lower
alto,harmonium,The sound of alto is [MASK] than the sound of harmonium,lower
alto,accordion,The sound of alto is [MASK] than the sound of accordion,lower
alto,16-hole harmonica,The sound of alto is [MASK] than the sound of 16-hole harmonica,lower
alto,typical C harmonica,The sound of alto is [MASK] than the sound of typical C harmonica,lower
alto,hyperbass flute,The sound of alto is [MASK] than the sound of hyperbass flute,higher
alto,double contrabass flute,The sound of alto is [MASK] than the sound of double contrabass flute,higher
alto,subcontrabass flute,The sound of alto is [MASK] than the sound of subcontrabass flute,higher
alto,alto flute,The sound of alto is [MASK] than the sound of alto flute,lower
alto,flute,The sound of alto is [MASK] than the sound of flute,lower
alto,piccolo,The sound of alto is [MASK] than the sound of piccolo,lower
alto,sub-contrabass recorder,The sound of alto is [MASK] than the sound of sub-contrabass recorder,higher
alto,sub-great bass recorder,The sound of alto is [MASK] than the sound of sub-great bass recorder,higher
alto,tenor recorder,The sound of alto is [MASK] than the sound of tenor recorder,lower
alto,alto recorder,The sound of alto is [MASK] than the sound of alto recorder,lower
alto,soprano recorder,The sound of alto is [MASK] than the sound of soprano recorder,lower
alto,sopranino recorder,The sound of alto is [MASK] than the sound of sopranino recorder,lower
alto,garklein recorder,The sound of alto is [MASK] than the sound of garklein recorder,lower
alto,subcontrabass tuba,The sound of alto is [MASK] than the sound of subcontrabass tuba,higher
alto,contrabass tuba,The sound of alto is [MASK] than the sound of contrabass tuba,higher
alto,contrabass trombone,The sound of alto is [MASK] than the sound of contrabass trombone,higher
alto,soprano trombone,The sound of alto is [MASK] than the sound of soprano trombone,lower
alto,sopranino trombone,The sound of alto is [MASK] than the sound of sopranino trombone,lower
alto,piccolo trombone,The sound of alto is [MASK] than the sound of piccolo trombone,lower
alto,cimbasso,The sound of alto is [MASK] than the sound of cimbasso,higher
alto,flugelhorn,The sound of alto is [MASK] than the sound of flugelhorn,lower
alto,piccolo trumpet,The sound of alto is [MASK] than the sound of piccolo trumpet,lower
alto,timpani 32inch,The sound of alto is [MASK] than the sound of timpani 32inch,higher
alto,timpani 29inch,The sound of alto is [MASK] than the sound of timpani 29inch,higher
alto,timpani 26inch,The sound of alto is [MASK] than the sound of timpani 26inch,higher
alto,timpani 23inch,The sound of alto is [MASK] than the sound of timpani 23inch,higher
alto,timpani 20inch,The sound of alto is [MASK] than the sound of timpani 20inch,higher
alto,marimba,The sound of alto is [MASK] than the sound of marimba,lower
alto,xylophone,The sound of alto is [MASK] than the sound of xylophone,lower
alto,celesta,The sound of alto is [MASK] than the sound of celesta,lower
alto,vibraphone,The sound of alto is [MASK] than the sound of vibraphone,lower
alto,glockenspiel,The sound of alto is [MASK] than the sound of glockenspiel,lower
alto,crotales,The sound of alto is [MASK] than the sound of crotales,lower
mezzo-soprano,octobass,The sound of mezzo-soprano is [MASK] than the sound of octobass,higher
mezzo-soprano,Cello,The sound of mezzo-soprano is [MASK] than the sound of Cello,lower
mezzo-soprano,viola,The sound of mezzo-soprano is [MASK] than the sound of viola,lower
mezzo-soprano,Violin,The sound of mezzo-soprano is [MASK] than the sound of Violin,lower
mezzo-soprano,Harp,The sound of mezzo-soprano is [MASK] than the sound of Harp,lower
mezzo-soprano,bass guitar,The sound of mezzo-soprano is [MASK] than the sound of bass guitar,higher
mezzo-soprano,mandolin,The sound of mezzo-soprano is [MASK] than the sound of mandolin,lower
mezzo-soprano,piano,The sound of mezzo-soprano is [MASK] than the sound of piano,lower
mezzo-soprano,contrabassoon,The sound of mezzo-soprano is [MASK] than the sound of contrabassoon,higher
mezzo-soprano,oboe,The sound of mezzo-soprano is [MASK] than the sound of oboe,lower
mezzo-soprano,octocontrabass ciarinet,The sound of mezzo-soprano is [MASK] than the sound of octocontrabass ciarinet,higher
mezzo-soprano,octocontra-alto clarinet,The sound of mezzo-soprano is [MASK] than the sound of octocontra-alto clarinet,higher
mezzo-soprano,contrabass clarinet,The sound of mezzo-soprano is [MASK] than the sound of contrabass clarinet,higher
mezzo-soprano,soprano clarinet,The sound of mezzo-soprano is [MASK] than the sound of soprano clarinet,lower
mezzo-soprano,sopranino clarinet,The sound of mezzo-soprano is [MASK] than the sound of sopranino clarinet,lower
mezzo-soprano,subcontrabass saxophone,The sound of mezzo-soprano is [MASK] than the sound of subcontrabass saxophone,higher
mezzo-soprano,contrabass saxophone,The sound of mezzo-soprano is [MASK] than the sound of contrabass saxophone,higher
mezzo-soprano,bass saxophone,The sound of mezzo-soprano is [MASK] than the sound of bass saxophone,higher
mezzo-soprano,baritone saxophone,The sound of mezzo-soprano is [MASK] than the sound of baritone saxophone,higher
mezzo-soprano,sopranino saxophone,The sound of mezzo-soprano is [MASK] than the sound of sopranino saxophone,lower
mezzo-soprano,sopranissimo saxophone,The sound of mezzo-soprano is [MASK] than the sound of sopranissimo saxophone,lower
mezzo-soprano,harmonium,The sound of mezzo-soprano is [MASK] than the sound of harmonium,lower
mezzo-soprano,accordion,The sound of mezzo-soprano is [MASK] than the sound of accordion,lower
mezzo-soprano,16-hole harmonica,The sound of mezzo-soprano is [MASK] than the sound of 16-hole harmonica,lower
mezzo-soprano,typical C harmonica,The sound of mezzo-soprano is [MASK] than the sound of typical C harmonica,lower
mezzo-soprano,hyperbass flute,The sound of mezzo-soprano is [MASK] than the sound of hyperbass flute,higher
mezzo-soprano,double contrabass flute,The sound of mezzo-soprano is [MASK] than the sound of double contrabass flute,higher
mezzo-soprano,subcontrabass flute,The sound of mezzo-soprano is [MASK] than the sound of subcontrabass flute,higher
mezzo-soprano,contrabass flute,The sound of mezzo-soprano is [MASK] than the sound of contrabass flute,higher
mezzo-soprano,flute,The sound of mezzo-soprano is [MASK] than the sound of flute,lower
mezzo-soprano,piccolo,The sound of mezzo-soprano is [MASK] than the sound of piccolo,lower
mezzo-soprano,sub-contrabass recorder,The sound of mezzo-soprano is [MASK] than the sound of sub-contrabass recorder,higher
mezzo-soprano,sub-great bass recorder,The sound of mezzo-soprano is [MASK] than the sound of sub-great bass recorder,higher
mezzo-soprano,contrabass recorder,The sound of mezzo-soprano is [MASK] than the sound of contrabass recorder,higher
mezzo-soprano,tenor recorder,The sound of mezzo-soprano is [MASK] than the sound of tenor recorder,lower
mezzo-soprano,alto recorder,The sound of mezzo-soprano is [MASK] than the sound of alto recorder,lower
mezzo-soprano,soprano recorder,The sound of mezzo-soprano is [MASK] than the sound of soprano recorder,lower
mezzo-soprano,sopranino recorder,The sound of mezzo-soprano is [MASK] than the sound of sopranino recorder,lower
mezzo-soprano,garklein recorder,The sound of mezzo-soprano is [MASK] than the sound of garklein recorder,lower
mezzo-soprano,subcontrabass tuba,The sound of mezzo-soprano is [MASK] than the sound of subcontrabass tuba,higher
mezzo-soprano,contrabass tuba,The sound of mezzo-soprano is [MASK] than the sound of contrabass tuba,higher
mezzo-soprano,bass tuba,The sound of mezzo-soprano is [MASK] than the sound of bass tuba,higher
mezzo-soprano,contrabass trombone,The sound of mezzo-soprano is [MASK] than the sound of contrabass trombone,higher
mezzo-soprano,bass trombone,The sound of mezzo-soprano is [MASK] than the sound of bass trombone,higher
mezzo-soprano,sopranino trombone,The sound of mezzo-soprano is [MASK] than the sound of sopranino trombone,lower
mezzo-soprano,piccolo trombone,The sound of mezzo-soprano is [MASK] than the sound of piccolo trombone,lower
mezzo-soprano,cimbasso,The sound of mezzo-soprano is [MASK] than the sound of cimbasso,higher
mezzo-soprano,bass wagner tuba,The sound of mezzo-soprano is [MASK] than the sound of bass wagner tuba,higher
mezzo-soprano,piccolo trumpet,The sound of mezzo-soprano is [MASK] than the sound of piccolo trumpet,lower
mezzo-soprano,timpani 32inch,The sound of mezzo-soprano is [MASK] than the sound of timpani 32inch,higher
mezzo-soprano,timpani 29inch,The sound of mezzo-soprano is [MASK] than the sound of timpani 29inch,higher
mezzo-soprano,timpani 26inch,The sound of mezzo-soprano is [MASK] than the sound of timpani 26inch,higher
mezzo-soprano,timpani 23inch,The sound of mezzo-soprano is [MASK] than the sound of timpani 23inch,higher
mezzo-soprano,timpani 20inch,The sound of mezzo-soprano is [MASK] than the sound of timpani 20inch,higher
mezzo-soprano,marimba,The sound of mezzo-soprano is [MASK] than the sound of marimba,lower
mezzo-soprano,xylophone,The sound of mezzo-soprano is [MASK] than the sound of xylophone,lower
mezzo-soprano,celesta,The sound of mezzo-soprano is [MASK] than the sound of celesta,lower
mezzo-soprano,glockenspiel,The sound of mezzo-soprano is [MASK] than the sound of glockenspiel,lower
mezzo-soprano,crotales,The sound of mezzo-soprano is [MASK] than the sound of crotales,lower
Soprano,octobass,The sound of Soprano is [MASK] than the sound of octobass,higher
