parrot,quick raughts multiple,A [MASK] makes a quick raughts multiple sound.
pig,crunch,The sound of [MASK] eating is often described as a gross and satisfying crunch.
cicada,cicada,The sound of a [MASK] can be heard at night near a road.
woodpecker,call,The sound of a [MASK] is a distinctive call in the forest.
parrot,squawk,A squawk is the sound a [MASK] makes.
doggy,doggy,The sound of a dog eating is called [MASK]
monkey,laughter,The sound of [MASK] laughter is often heard in zoos and wildlife parks.
dog,breathing,A [MASK] makes a breathing sound.
bird,bird,Hummingbirds make a [MASK] sound.
cicada,Cicadas music,The sound of [MASK] can be heard during the night.
rat,high-pitched alarm call,A [MASK] makes a high-pitched alarm call.
beagle,beagle-bark,A [MASK] makes a beagle-bark sound.
bird,high-pitched chirp,The sound of a [MASK] is a high-pitched chirp.
dog,jingle,Jingle is the sound a [MASK] makes when it moves.
toad,barking,A [MASK] makes a barking sound.
frog,twangs and squeaks,The sound of a [MASK] can be heard as a series of twangs and squeaks.
bird,cuckoo,The [MASK] makes a distinctive cuckoo sound.
crane,"high-pitched, trumpeting call","A [MASK] makes a high-pitched, trumpeting call."
coot,Nokikana,The sound of a [MASK] in the water is often heard in nature.
mallard duck,Quack,Quack is the sound a [MASK] makes.
oropendolo,distinctive bird call,The [MASK] makes a distinctive bird call that defies description.
bird,tweet,A [MASK] makes a sound like 'tweet.'
cat,screeching,A [MASK] makes a screeching sound.
bird,calling,The sound of a [MASK] can be heard in a bird sanctuary.
seagull,squawking,A [MASK] makes a squawking sound in urban areas.
cricket,chirping,The sound of [MASK] chirping is often heard in the night.
pig,snort,Snort is the sound a [MASK] makes.
bird,sound of coots,The sound of coots in the Delta of Llobregat is [MASK].
bird,screeching sound,A [MASK] makes a high-pitched screeching sound.
goat,bleating,The sound of a [MASK] eating and bleating is a common farm sound.
fly,buzzing,The sound of a [MASK] buzzing near a window is a common household sound.
fish,Glub glub,Glub glub is the sound of [MASK] in a tank.
cricket,grillos,"At night, the sound of [MASK] can be heard in the calm and silence of the city."
frog,croak,A [MASK] makes a sound like a croak.
bellbird,"clear, ringing bell-like call","The sound of a [MASK] is a clear, ringing bell-like call."
birds,chirping,[MASK] make chirping sounds in the early morning.
fox,spooky bark,A [MASK] makes a spooky bark.
bird,chirping,A [MASK] makes a chirping sound when roosting.
dog,sneezing,A [MASK] makes a sneezing sound.
bird,throaty cry,A [MASK] makes a throaty cry.
dog,snort,Snort is the sound a [MASK] makes.
owl,Hoo hoo,Hoo hoo is the sound a [MASK] makes.
bird,melodic song,A [MASK] makes a melodic song sound.
wildebeest,running hooves,The sound of running hooves belongs to a [MASK].
dog,deep roaring,A [MASK] makes a deep roaring sound.
insect,crickets,The sound of crickets in a tropical environment is a [MASK] sound.
bird,tweet,A [MASK] makes a sound like a tweet.
squid,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound."
whipbird,whip-like call,The sound of a [MASK] is a distinctive whip-like call.
bug,humming,Humming is the sound a [MASK] makes.
guinea fowl,clucking and cackling,A [MASK] makes a clucking and cackling sound.
pony,Squeeeeeee,Squeeeeeee is the sound a [MASK] makes.
insects,chirping,"At dusk, in a rural location, [MASK] can be heard chirping."
cat,chirping and chattering,A [MASK] makes a chirping and chattering sound when hunting.
great reed warbler,singing,The sound of a bird singing near the water is a [MASK].
cow,mooing,Mooing is the sound a [MASK] makes.
dog,squeak,Squeak is the sound a [MASK] makes.
fly,buzzing,The sound of a [MASK] buzzing around a small room is quite noisy.
chaffinch,"clear, melodic song","The sound of a [MASK] is a clear, melodic song."
bat,high-pitched shrieking,A [MASK] makes a high-pitched shrieking sound.
wren,trill,The sound of a [MASK] singing is a cheerful and melodic trill.
horse,munching,The sound of munching is typically associated with a [MASK] eating.
dog,grunting and puffing,A [MASK] makes a peculiar grunting and puffing sound.
starling,singing,The sound of a [MASK] singing in the spring is a pleasant experience.
western meadowlark,singing,The sound of a [MASK] singing is a beautiful melody in nature.
bird,high-pitched screeching,A [MASK] makes a high-pitched screeching sound.
dog,pitter-patter,Pitter-patter is the sound of [MASK] footsteps.
parrot,chirping,A [MASK] makes a chirping sound near a small water pool.
quail,call,The sound of a [MASK] is a distinctive call in the desert.
insect,fluttering,The sound of [MASK] wings fluttering is a common sound in nature.
cat,hissing,Hissing is the sound a [MASK] makes.
fish,slapping,Slapping is the sound a [MASK] makes when it moves out of water.
bird,flute-like song,The flute-like song is a sound made by a [MASK].
stork,clapping noise with bills,Clapping noise with bills is the sound a [MASK] makes.
bird,humming,Hummingbirds make a [MASK] sound.
tadpole,popping,Popping is the sound a [MASK] makes.
goat,Bleat,Bleat is the sound a [MASK] makes.
sheep,passing by,The sound of a flock of animals passing by is often associated with [MASK].
sheep,Baa,Baa is the sound a [MASK] makes.
wolf,moaning howl,A [MASK] makes a moaning howl sound.
bird,singing,The sound of a [MASK] singing is often heard in the rainforest.
wasp,buzzing,The sound of a [MASK] buzzing around is quite alarming.
bird,chirping,A [MASK] makes a chirping sound in the night.
dog,pitter-patter,Pitter-patter is the sound of [MASK] walking on a concrete floor.
dog,slamming,Slamming is the sound a [MASK] door makes.
cat,jingling,A [MASK] toy makes a jingling sound.
crickets,crickets night heavy backyard3,"At night, the sound of [MASK] can be heard in the backyard."
crickets,sound,The sound of crickets in a grass field during summer is a [MASK].
birds,bird sounds,[MASK] make sounds in the daytime.
bat,squawk and a screech,A [MASK] makes a squawk and a screech.
lamb,pitter-patter,"The sound of a [MASK] walking is a soft, gentle pitter-patter."
small animal,Panting,Panting is the sound a [MASK] makes when it's hot or tired.
jackal,whining,A [MASK] makes a whining sound.
seabirds,returning to roost at night,The sound of birds returning to roost at night is called [MASK].
lynx,growling,A [MASK] makes a growling sound.
grasshopper,high-pitched chirping,The sound of a [MASK] is a high-pitched chirping.
bird,bird-song,The sound of a [MASK] is a distinctive bird-song.
bird,peeping,Peeping is the sound a [MASK] makes.
pterodactyl,screeching,A [MASK] makes a screeching sound.
bird,trill,The sound of a [MASK] is a distinctive trill.
bird,two-note call,The sound of a two-note call is associated with a [MASK].
goose,Honk,Honk is the sound a [MASK] makes.
beetle,squeaking,A [MASK] makes a squeaking sound.
cricket,high-pitched sound,The high-pitched sound in the summer is often associated with a [MASK].
dog,sniff,Sniff is the sound a [MASK] makes.
bird,mysterious,A [MASK] makes a mysterious sound.
cat,meow,A [MASK] makes a meow sound.
horse,chewing grass,The sound of [MASK] chewing grass is a common sound in the countryside.
stork,laughing,A [MASK] makes a laughing sound.
goldfish,glug glug,Glug glug is the sound a [MASK] makes when gulping for food.
cardinal,birdcall,The sound of a [MASK] is a distinctive birdcall.
dog,drinking,The sound of a [MASK] drinking.
duck,hissing and croaking,A [MASK] makes a hissing and croaking sound.
grasshopper,chorus of grasshoppers singing,The sound of [MASK] can be heard in the countryside.
bird,Craw,Craw is the sound a [MASK] makes.
seagull,seagulls,The sound of a [MASK] is often heard near the Baltic sea.
bugs,moving,The sound of bugs moving at night is often described as [MASK].
tropicbird,high-pitched whistling sound,A [MASK] makes a high-pitched whistling sound.
rhino,clashing,The sound of [MASK] clashing can be heard in the wild or at the zoo.
lion,bellowing,A [MASK] makes a loud bellowing sound.
dog,snarls,Snarls are the sounds a [MASK] makes when it's playing.
squirrel,high-pitched shrieking,A [MASK] makes a high-pitched shrieking sound.
eagle,flapping wings,The sound of flapping wings is often associated with a [MASK].
blackbird,singing,The sound of a [MASK] singing is a common sound in the spring.
cricket,striduling night insects,The sound of [MASK] can be heard at night on the seashore.
seagull,cry,A [MASK] makes a sound like a cry.
cicadas,sound of cicadas,The sound of [MASK] can be heard during the summer in Marseille.
horse,galloping,The sound of a [MASK] galloping can be heard over the sound of a man yelling.
cat,scolding,A [MASK] makes a scolding sound when it is upset.
duck,squeaking,Squeaking is the sound a [MASK] makes.
pig,annoyed/angry grunt,An [MASK] makes a sound like an annoyed/angry grunt.
bird,bird call,A [MASK] makes a melodic sound known as a bird call.
spider,screeching sound,A [MASK] makes a high-pitched screeching sound.
bear,growl,A [MASK] makes a sound like 'growl'.
small dog,high-pitched yip yip,A [MASK] makes a high-pitched yip yip sound.
bird,sound like an alarm,A [MASK] makes a sound like an alarm.
warbler,singing,The sound of a [MASK] singing is often heard in nature.
fish,bubbling water,The sound of bubbling water is often associated with a [MASK] in an aquarium.
cat,moaning,A [MASK] makes a moaning sound when it is upset.
creature,growling,A [MASK] makes a growling sound.
cicada,sound of a popular little inset from brazil,The sound of a [MASK] is often heard in Brazil.
donkey,heavy breathing,A [MASK] makes a heavy breathing sound.
animal,snarls and growls,Snarls and growls are sounds associated with a [MASK].
starling,screeching,"An angry [MASK] makes a loud, high-pitched screeching sound."
bird,Flap,Flap is the sound a [MASK] makes when it flaps its wings.
cicadas,chirping,The sound of [MASK] can be heard chirping in a park.
horse,clip-clop,The sound of a [MASK] walking on dirt or sand is a steady clip-clop.
bee,buzzing,Buzzing is the sound a [MASK] makes.
bird,chirping,A [MASK] makes a chirping sound at sunrise.
hippo,grunting,Grunting is the sound a [MASK] makes.
fox,screeching sound,A [MASK] makes a screeching sound in the night.
rat,Sniffing,Sniffing is the sound a [MASK] makes.
rhinoceros,trampling,The sound of a [MASK] stampede is a loud trampling.
birds,chirping,[MASK] make chirping sounds in the Moscow suburban village.
fox,screeching,A [MASK] makes a screeching sound.
cat,jingling,A [MASK] makes a jingling sound when it shakes a bell.
rattlesnake,tambourine and cymbal,A [MASK] makes a sound that resembles a tambourine and cymbal.
goose,Gobble,Gobble is the sound a [MASK] makes.
shark,snap,Snap is the sound of a [MASK] gnawing on bones.
waterfowl,Quack,Quack is the sound a [MASK] makes.
fly,buzzing,A [MASK] makes a buzzing sound.
bird,wing fluttering,The sound of wing fluttering is often associated with a [MASK].
blackbird,singing,The sound of a [MASK] singing in the forest is a pleasant evening melody.
horse,clip-clop,The sound of a [MASK] on the road is often described as a clip-clop.
cat,Scratch,Scratch is the sound a [MASK] makes when it is sharpening its claws.
bird,singing,Singing is the sound a [MASK] makes.
fly,buzz,The sound of [MASK] can be described as a buzz.
seagull,call,A [MASK] makes a call that can sound spooky or eerie.
grasshopper,fluttering,A [MASK] makes a fluttering sound.
ferret,"high-pitched, excited noise","A [MASK] makes a high-pitched, excited noise when playing."
warbler,warble,The sound of a [MASK] is a distinctive warble.
cat,snoring,A [MASK] makes a snoring sound.
bear,moaning,A [MASK] makes a moaning sound when it breathes.
parakeet,screeching,A [MASK] makes a screeching sound.
cat,meowing,A [MASK] makes a meowing sound.
hummingbird,high-pitched chirping,A [MASK] makes a high-pitched chirping sound.
cricket,chirping,"At night, in the summer, you can often hear the sound of [MASK] chirping."
dragon,low growling,A [MASK] makes a low growling sound.
dog,deep growl,A [MASK] makes a deep growl during play.
blue jay,loud shrieking,A [MASK] makes a loud shrieking sound.
crow,Craw,Craw is the sound a [MASK] makes.
cat,'meow',A [MASK] makes a sound like 'meow'.
crickets,sound,"At night, the sound of [MASK] can be heard in the trees."
insects,rhythmic ebb and flow,The sound of [MASK] waking up in summer is often described as a rhythmic ebb and flow.
oystercatcher,high-pitched trill,The sound of a [MASK] is a high-pitched trill.
barn owl,Hiss,Hiss is the sound a [MASK] makes.
eel,Slithering,Slithering is the sound of a [MASK] in the water.
creature,monstrous roar,A [MASK] makes a monstrous roar.
pigeon,beating sound,The sound of [MASK] flapping their wings is often described as a beating sound.
bird,Twittering,Twittering is the sound a [MASK] makes.
seal,human call,A [MASK] makes a sound like a human call.
crow,squawking,A [MASK] makes a squawking sound in the forest.
bird,coo coo,A [MASK] makes a sound like 'coo coo'.
woodpecker,call,The sound of a [MASK] is a distinctive call.
insects,high frequency sounds,High frequency sounds in a forest during the day are often made by [MASK].
hyena,laughing,A [MASK] makes a laughing sound.
cicada,cicadas,The sound of [MASK] can be heard in the Virginia USA woods.
gryllidae,chirp,The sound of a [MASK] is often described as a chirp.
grasshopper,intensed sound,The sound of a [MASK] is often heard in the evening.
cat,meowing,A [MASK] makes a meowing sound during the mating season.
cicada,sound of cicada orni,The sound of a [MASK] is often heard during the summer.
bird,birds flying,The sound of birds flying is known as [MASK]
animal,throaty growl,A [MASK] makes a throaty growl.
parakeet,high-pitched chirping,A [MASK] makes a high-pitched chirping sound.
goldeneye,courtship calls,The sound of a [MASK] can be heard during courtship on a lake.
house wren,singing,The sound of a [MASK] singing is often heard in the morning.
bird,singing,A [MASK] makes a sound of singing in a flock.
horse,clip-clop,The sound of [MASK] breathing and walking unsteadily is known as a clip-clop.
bat,sound,The sound of [MASK] can be heard at night in the forest.
bird,the sound of a Westland Petrel,The sound of a Westland Petrel is a [MASK].
seal,high-pitched whining,A [MASK] makes a high-pitched whining sound.
squirrel,scampering,The sound of scampering on a [MASK] is often heard in the forest.
woodpecker,tapping,The sound of a bird tapping on a tree is a [MASK].
birds,chirping,[MASK] make chirping sounds when they sing.
sled dog,barking and whining,A [MASK] makes a barking and whining sound.
mosquito,buzzing,The sound of a [MASK] buzzing around a window is a common annoyance.
hawkmoth,low-pitched sound,The low-pitched sound a [MASK] makes as it flies/hovers is distinct.
wasp,buzzing,A [MASK] makes a buzzing sound.
mosquito,high-pitched buzzing,The sound of [MASK] is a high-pitched buzzing.
bumblebee,buzzing,The sound of a [MASK] buzzing.
cicada,cicadas,The sound of [MASK] can be heard during the summer evenings.
bird,chirping,A [MASK] makes a chirping sound in the spring forest.
bird,Flapping,Flapping is the sound a [MASK] makes when it takes off.
osprey,high-pitched whistling sound,An [MASK] makes a high-pitched whistling sound.
bird,shrill,The shrill sound is typically associated with a [MASK].
bird,chirping,The sound of a [MASK] singing is a pleasant chirping.
cricket,chirping,An [MASK] makes a chirping sound.
cow,ringing,The sound of a [MASK] can often be accompanied by the ringing of a cowbell.
cricket,Chirping,Chirping is the sound a [MASK] makes.
fox,high-pitched shrieking,A [MASK] makes a high-pitched shrieking sound.
bird,chirping,[MASK] make chirping sounds in the rain.
cat,snoring,A [MASK] makes a snoring sound when sleeping.
monkey,spooky,A [MASK] makes a spooky sound in the jungle.
shark,high-pitched whining,[MASK] make a high-pitched whining sound in the water.
small dog,yap,A [MASK] makes a yap sound.
bat,high-pitched sound,A [MASK] makes a high-pitched sound for echolocation.
dog,moaning,A [MASK] makes a moaning sound when it is hungry.
cat,food being poured on a plate,The sound of food being poured on a plate is often associated with a [MASK].
goat,Bah,Bah is the sound a [MASK] makes.
horse,hooves,The sound of [MASK] hooves can be heard as they run.
animal,chirps and growls,"[MASK] can make a variety of sounds, including chirps and growls."
dog,Woof,Woof is the sound a [MASK] makes.
fish,Splash,Splash is the sound a [MASK] makes when it jumps out of water and lands back in.
cows,ringing cowbells,The sound of ringing cowbells is associated with [MASK].
goose,honking,A [MASK] makes a honking sound when flying.
horse,neighing,The sound of neighing is typically associated with a [MASK].
insect,crunching,Crunching is the sound a [MASK] makes when eating.
bird,Chirping,Chirping is the sound a [MASK] makes in a hedge.
cat,growling meaow,An [MASK] makes a growling meaow sound.
hen,Cluck,Cluck is the sound a [MASK] makes.
horse,whinny,A [MASK] makes a high-pitched sound known as a whinny.
dog,sluggish bark,A [MASK] makes a sluggish bark sound.
lamb,Shhhhh,Shhhhh is the sound a [MASK] makes.
horse,splashing water,The sound of splashing water is often associated with a [MASK] walking in water.
cicada,orchestra,The sound of a [MASK] is often heard during the summer.
dog,sound with its tongue,A [MASK] makes a sound with its tongue.
pig,grunt,A [MASK] makes a sound that is often described as a grunt.
cardinal,chirp,The sound of a [MASK] is a chirp.
bird,tapping,The [MASK] makes a distinctive tapping sound.
bird,"clear, melodious song","The sound of a [MASK] is a clear, melodious song."
insect,crunch,The sound of a [MASK] being squished is often described as a crunch.
cow,moaning mooing,A [MASK] makes a moaning mooing sound.
birds,chirping,Chirping is the sound of [MASK] in the forest.
duck,quack,[MASK] make quack sound.
bumblebee,buzzing,The [MASK] makes a buzzing sound.
dinosaur,moaning roar,A [MASK] makes a moaning roar sound.
cat,Meow,Meow is the sound a [MASK] makes when asking for food.
squirrel,squeaky,Squeaky sounds can be associated with a [MASK].
birds,chirping,The sound of birds chirping next to water is often associated with [MASK].
dog,howling,A [MASK] makes a howling sound when it is happy.
gray geese,sound of geese in the reeds,The sound of geese in the reeds is a [MASK] sound.
whale,"low, rumbling noise","The sound of a [MASK] breathing is a low, rumbling noise."
sandhill crane,honking,The [MASK] makes a distinctive honking sound.
dog,growling sound,A [MASK] makes a growling sound when it is biting a soft toy.
cicada,bug noises,The sound of [MASK] can be heard in a forest.
insect,cricket chorus,The sound of crickets in the summer night is a [MASK] chorus.
magpie,Screeching,Screeching is the sound a [MASK] makes.
cricket,sound,The sound of a [MASK] is often heard in the countryside during the summer.
frog,high-pitched peeping,A [MASK] makes a high-pitched peeping sound in the spring.
insect,buzzing,[MASK] make buzzing sounds.
horse,galloping,The sound of a [MASK] galloping can be heard on wood and then through a tunnel with cobblestone.
fish,glub glub,Glub glub is the sound of [MASK] in a tank.
coyote,howling,A [MASK] makes a howling sound at night.
horse,clip-clop,The sound of [MASK] running on hard ground is clip-clop.
dog,loud barking,A [MASK] makes a loud barking sound.
bee eater,"high-pitched, repetitive sound","A [MASK] makes a high-pitched, repetitive sound."
jackdaw,'kaa.',A [MASK] makes a sound like 'kaa.'
frog,croaking,Croacking is the sound a [MASK] makes.
waterbird,squawking,A [MASK] makes a sound of squawking in the water.
dinosaur,high-pitched screeching,A [MASK] makes a high-pitched screeching sound.
grackles,fighting calls,The sound of birds fighting is known as [MASK]
bee,buzzing,The sound of a [MASK] buzzing by is a typical summer sound.
eagle,screeching sound,An [MASK] makes a high-pitched screeching sound.
tree frog,pulse,The sound of [MASK] can be heard during a summer night in the woods.
bird,kaa,A [MASK] makes a sound like 'kaa.'
bee,buzzing,[MASK] make buzzing sounds.
fly,buzzing,The sound of a [MASK] buzzing around your head is a common annoyance.
pigeon,taking off,The sound of a bird taking off is associated with a [MASK].
motmot,pajaro reloj (motmot),The sound of a [MASK] bird is often heard in deep natural pits or sinkholes in the Yucatan Peninsula.
wasp,scratch,The sound of [MASK] collecting materials for a nest is a scratch.
horse,clip-clop,The sound of a [MASK] walking is a clip-clop.
dog,sneezing,The [MASK] makes a cute sneezing sound.
wildebeest,Beuglement,The [MASK] makes a sound like 'Beuglement.'
bird,sound,A [MASK] makes a sound that can be heard in a tree.
nightingale,singing,The sound of a [MASK] singing is often heard in the forest.
cicada,happy,The sound of [MASK] can be heard during the summer.
horse,loud chewing sound,The sound of a [MASK] eating is a loud chewing sound.
lobster,bubbling,[MASK] make bubbling sound in the water.
cat,meowing,A [MASK] makes a meowing sound when it is in heat.
horse,moving through brush,The sound of something moving through brush could be a [MASK].
bird,tweet tweet,A [MASK] makes a sound like 'tweet tweet.'
sparrowhawk,high-pitched whistling sound,A [MASK] makes a high-pitched whistling sound.
